candidate,relationship,direction,record_a,record_b,evidence
P1,REFERS_TO_SAME_ENTITY,undirected,"{""City_ID"": ""11"", ""City"": ""Jiaxing ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4501700"", ""GDP"": ""266.81""}","{""City"": ""Jiaxing ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4501700"", ""GDP"": ""266.81""}","Meteorological records for Jiaxing (Zhejiang) include detailed monthly measurements. The recorded measurement for July in the city was 28.5. For the month of Aug, the measurement in Jiaxing (Zhejiang) was exactly 29.4. By September, the corresponding figure for the area had dropped to 26.0. The progressive decline from 28.5 in July through 29.4 in August to 26.0 in September illustrates the characteristic late-summer peak followed by autumnal cooling that has been documented extensively in the literature on Zhejiang's littoral climate zones.\(^{51}\) Jiaxing's proximity to Hangzhou Bay and its role as a transit corridor between Shanghai and Hangzhou have prompted some analysts to treat its readings as a bellwether for broader regional trends, although the PCGF expressly cautions against extrapolating single-municipality data to provincial-level conclusions."
P11,MATCH_CITY_DATA,bidirectional,"{""City_ID"": ""13"", ""City"": ""Yangzhou ( Jiangsu )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4459760"", ""GDP"": ""263.03""}","{""City"": ""Yangzhou ( Jiangsu )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4459760"", ""GDP"": ""263.03""}","The city of Yangzhou is located in Jiangsu. The regional population of Yangzhou is 4,459,760. The demographic characteristics of Yangzhou, a city whose historical significance as a commercial and cultural center during the Tang and Qing dynasties is well documented, present an interesting case study in the relationship between population stability and the demand for local legislative capacity.\(^{52}\) Unlike the rapidly growing municipalities of southern Jiangsu, Yangzhou has experienced relatively modest population growth over the past decade, a circumstance that has prompted some scholars to question whether the constitutional framework's implicit assumption of a positive correlation between population growth and the need for expanded local governance mechanisms adequately accounts for the needs of municipalities with stable or declining populations.\(^{53}\) The Yangzhou Municipal Bureau of Civil Affairs reported in 2021 that the city's elderly dependency ratio had risen to approximately 22.7 percent, a figure that, while not directly relevant to the GDP analysis presented above, underscores the multidimensional character of the constitutional inquiry into municipal governance capacity.\(^{54}\) It should be noted that "
P13,OPERATED_FLIGHT_FROM,a_to_b,"{""Code"": ""19790"", ""Description"": ""Delta Air Lines Inc.: DL""}","{""Code"": ""ATL"", ""Description"": ""Atlanta, GA: Hartsfield-Jackson Atlanta International""}","<table>
<tr>
<td>On August 10, 2018, flight 5465 was operated by carrier 20363. A flight was operated by Air Carrier 19393. This authorization is subject to the meteorological limits of the assigned terminal airspace.</td>
</tr>
<tr>
<td>On August 24, 2018, a flight departed from PHX. On August 23, 2018, flight 3328 was operated by carrier 20304, departing from SJC and arriving at DAL. Supplemental ground support equipment must be maintained in accordance with standard apron protocols.</td>
</tr>
<tr>
<td>On August 5, 2018, air carrier 19805 operated a flight. On August 3, 2018, carrier 19790 operated a scheduled flight originating from ATL. Routine tarmac inspections are logged separately in the master maintenance ledger.</td>
</tr>
<tr>
<td>On August 6, 2018, air carrier 19805 operated flight number 2673. On August 7, 2018, air carrier 20445 operated flight number 4884. Cargo loading parameters remain under the strict jurisdiction of the duty dispatch supervisor.</td>
</tr>
<tr>
<td>On August 30, 2018, air carrier 19790 operated flight number 1384. On August 30, 2018, air carrier 19790 operated flight number 1384. On August 30, 2018, air carrier 19790 operated flight number 1384. Fuel density checks were systematically completed and verified prior to block-out procedures.</td>
</tr>
<tr>
<td>On August 8, 2018, Carrier 20237 operated a flight originating from BDL. On August 20, 2018, carrier 19805 operated flight 2256. Air traffic clearance wait times may fluctuate significantly during peak domestic operational windows.</td>
</tr>
<tr>
<td>On August 28, 2018, flight number 3846 was operated by air carrier 20398. On August 3, 2018, flight 694 was operated by the air carrier with code 19393. Any minor deviations from standard instrument routing instructions require immediate digital notification to the central command hub.</td>
</tr>
</table>"
P37,PART_OF_SAME_PROVINCE,undirected,"{""City_ID"": ""10"", ""City"": ""Jinhua ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4614100"", ""GDP"": ""244.77""}","{""City"": ""Jiaxing ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4501700"", ""GDP"": ""266.81""}","#### 3. Zhejiang Province: Jinhua, Jiaxing, and Derived Metrics"
P38,PART_OF_SAME_PROVINCE,undirected,"{""City_ID"": ""10"", ""City"": ""Jinhua ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4614100"", ""GDP"": ""244.77""}","{""City"": ""Jiaxing ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4501700"", ""GDP"": ""266.81""}","#### 3. Zhejiang Province: Jinhua, Jiaxing, and Derived Metrics"
P49,MENTIONS_JOINT_GROUP_MEMBER,undirected,"{""City_ID"": ""11"", ""City"": ""Jiaxing ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4501700"", ""GDP"": ""266.81""}","{""City"": ""Jinhua ( Zhejiang )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""4614100"", ""GDP"": ""244.77""}","#### 3. Zhejiang Province: Jinhua, Jiaxing, and Derived Metrics"
P64,SHARED_SPECIFIC_REGIONAL_VENUE_DESIGNATIONS,undirected,"{""City_ID"": ""2"", ""City"": ""Nanjing ( Jiangsu )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""8004680"", ""GDP"": ""614.55""}","{""City"": ""Nanjing ( Jiangsu )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""8004680"", ""GDP"": ""614.55""}","The particular venues selected for Match Beta and Match Gamma merit individual examination, as each raised distinct administrative and jurisdictional considerations. Match Beta was officially hosted in Nanjing ( Jiangsu ). The designation of Nanjing, the capital of Jiangsu Province, reflected the city's longstanding status as a secondary national sporting center and the availability of the Wutaishan Sports Center, which had undergone renovation in 1990–1991 with partial funding from the provincial government.^{8} Match Beta was officially hosted in Nanjing ( Jiangsu ). It should be noted that Jiangsu's provincial sports commission had submitted a formal hosting application in March 1992, a procedural step that—while not strictly required under the Organic Law—was subsequently cited by the committee as evidence of local governmental support for the scheduling determination. The Jiangsu provincial legislature had, in a separate but arguably related action, appropriated supplementary funds for venue preparation in its spring 1992 budget session, reflecting an apparent expectation—or at least a strong hope—that Nanjing would be selected."
P65,SHARED_SPECIFIC_REGIONAL_VENUE_DESIGNATIONS,undirected,"{""City_ID"": ""2"", ""City"": ""Nanjing ( Jiangsu )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""8004680"", ""GDP"": ""614.55""}","{""City"": ""Nanjing ( Jiangsu )"", ""Hanzi"": """", ""Hanyu_Pinyin"": """", ""Regional_Population"": ""8004680"", ""GDP"": ""614.55""}",### B. Specific Regional Venue Designations: Nanjing and Guangzhou
P82,IDENTICAL_RECORD_ENTRY,undirected,"{""book_id"": ""6296"", ""title"": ""The Life of Our Lord: Written for His Children During the Years 1846 to 1849"", ""isbn13"": ""9780684865379"", ""language_id"": ""1"", ""num_pages"": ""128"", ""publication_date"": ""1999-11-09"", ""publisher_id"": ""1373""}","{""book_id"": ""6296"", ""title"": ""The Life of Our Lord: Written for His Children During the Years 1846 to 1849"", ""isbn13"": ""9780684865379"", ""language_id"": ""1"", ""num_pages"": ""128"", ""publication_date"": ""1999-11-09"", ""publisher_id"": ""1373""}","    *The Life of Our Lord: Written for His Children During the Years 1846 to 1849*. By Charles Dickens. New York: Norton and Co., 1934. Pp. 128. $15.00 (cloth)."
P86,PARTICIPATED_IN,b_to_a,"{""ID"": ""6"", ""Name"": ""European FINA"", ""Stadium_ID"": ""8"", ""Year"": ""2017""}","{""ID"": ""4"", ""name"": ""Craig Stevens"", ""Nationality"": ""Australia"", ""meter_100"": ""57.35"", ""meter_200"": ""1:56.34"", ""meter_300"": ""2:55.90"", ""meter_400"": ""3:55.72"", ""meter_500"": ""4:55.08"", ""meter_600"": ""5:54.45"", ""meter_700"": ""6:52.69"", ""Time"": ""7:48.67""}","Craig Stevens was an entrant scheduled to compete in the European FINA event. However, Stevens withdrew from the competition prior to the start. As a result of his withdrawal, no official result was recorded for him at the event. The European FINA event that season attracted 247 entries across all distance freestyle categories, a record for the continental circuit at the time."
